City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2021-11-24 18:44:28,-42.7826,147.0587,55.92,63,9,3.0
1,Kavaratti,IN,2021-11-24 18:44:28,10.5669,72.642,80.92,81,100,5.7
2,Sobolevo,RU,2021-11-24 18:44:29,54.4299,31.8996,33.51,91,95,13.78
3,Ushuaia,AR,2021-11-24 18:42:47,-54.8,-68.3,49.66,53,40,21.85
4,Yellowknife,CA,2021-11-24 18:44:29,62.456,-114.3525,-5.71,70,75,9.22
5,Jamestown,US,2021-11-24 18:42:24,42.097,-79.2353,44.71,33,100,4.0
6,East London,ZA,2021-11-24 18:44:30,-33.0153,27.9116,61.74,72,20,5.75
7,Oranjestad,AW,2021-11-24 18:41:00,12.524,-70.027,84.15,70,40,14.97
8,Barrow,US,2021-11-24 18:44:30,71.2906,-156.7887,-2.18,71,75,11.5
9,Victoria,HK,2021-11-24 18:39:38,22.2855,114.1577,67.24,76,0,4.0
10,Tiksi,RU,2021-11-24 18:44:31,71.6872,128.8694,-10.82,94,100,5.95
11,Boa Vista,BR,2021-11-24 18:44:31,2.8197,-60.6733,94.98,38,40,5.75
12,Ambunti,PG,2021-11-24 18:44:32,-4.2365,142.8448,72.45,99,100,1.74
13,Mbaiki,CF,2021-11-24 18:44:32,3.8678,17.9892,75.02,49,40,1.86
14,Minab,IR,2021-11-24 18:44:32,27.1467,57.0801,71.1,78,0,2.8
15,Busselton,AU,2021-11-24 18:44:33,-33.65,115.3333,59.09,77,89,11.92
16,Kapaa,US,2021-11-24 18:44:35,22.0752,-159.319,74.19,89,20,6.91
17,Lorengau,PG,2021-11-24 18:44:36,-2.0226,147.2712,80.82,79,39,3.2
18,Waslala,NI,2021-11-24 18:44:36,13.2333,-85.3833,84.54,54,71,7.34
19,Bluff,NZ,2021-11-24 18:44:37,-46.6,168.3333,51.37,83,99,7.83
20,Albany,US,2021-11-24 18:40:38,42.6001,-73.9662,42.8,47,0,1.01
21,Imbituba,BR,2021-11-24 18:44:37,-28.24,-48.6703,73.29,62,0,10.36
22,Tecoanapa,MX,2021-11-24 18:44:37,16.5167,-98.75,82.67,72,1,7.31
23,Srednekolymsk,RU,2021-11-24 18:44:38,67.45,153.6833,-14.67,99,100,4.61
24,Bredasdorp,ZA,2021-11-24 18:44:38,-34.5322,20.0403,62.28,69,0,15.66
25,Nikolskoye,RU,2021-11-24 18:44:39,59.7035,30.7861,33.87,69,100,7.58
26,Norman Wells,CA,2021-11-24 18:44:39,65.282,-126.8329,-32.76,68,40,2.3
27,Hobart,AU,2021-11-24 18:44:39,-42.8794,147.3294,56.26,85,12,0.0
28,Kouango,CF,2021-11-24 18:44:39,4.9934,19.9619,78.01,46,0,2.98
29,Tuktoyaktuk,CA,2021-11-24 18:44:40,69.4541,-133.0374,-23.8,76,20,6.91
30,Uige,AO,2021-11-24 18:44:40,-7.6087,15.0613,67.93,98,100,2.01
31,Luza,RU,2021-11-24 18:44:41,60.6308,47.2512,17.24,95,100,8.03
32,Vaini,TO,2021-11-24 18:44:41,-21.2,-175.2,71.76,100,40,2.3
33,Hithadhoo,MV,2021-11-24 18:44:42,-0.6,73.0833,82.09,75,100,17.9
34,Beyneu,KZ,2021-11-24 18:44:42,45.3167,55.2,37.04,79,100,19.06
35,San Cristobal,VE,2021-11-24 18:44:43,7.7669,-72.225,77.18,85,68,3.18
36,Salalah,OM,2021-11-24 18:44:43,17.0151,54.0924,82.49,83,75,5.75
37,Ilulissat,GL,2021-11-24 18:44:43,69.2167,-51.1,30.22,80,75,16.11
38,Thompson,CA,2021-11-24 18:42:14,55.7435,-97.8558,-0.24,71,1,14.97
39,Jiwani,PK,2021-11-24 18:44:44,25.05,61.7417,78.17,75,9,6.73
40,Aklavik,CA,2021-11-24 18:44:44,68.2191,-135.0107,-22.0,76,40,2.3
41,Olafsvik,IS,2021-11-24 18:44:47,64.8945,-23.7142,33.19,73,100,14.16
42,Saint George,US,2021-11-24 18:41:13,37.1041,-113.5841,57.67,23,1,4.0
43,Hermanus,ZA,2021-11-24 18:44:47,-34.4187,19.2345,62.8,73,0,20.29
44,Mataura,NZ,2021-11-24 18:44:48,-46.1927,168.8643,51.17,77,100,1.86
45,Atuona,PF,2021-11-24 18:44:48,-9.8,-139.0333,77.22,80,28,12.1
46,Longyearbyen,SJ,2021-11-24 18:45:49,78.2186,15.6401,1.24,71,20,11.5
47,Taltal,CL,2021-11-24 18:42:36,-25.4,-70.4833,67.05,63,25,8.59
48,Jiangyou,CN,2021-11-24 18:45:49,31.7667,104.7167,48.06,77,0,2.57
49,Kutum,SD,2021-11-24 18:45:50,14.2,24.6667,66.97,14,27,8.88
50,Dingle,PH,2021-11-24 18:45:50,10.9995,122.6711,77.36,93,99,6.96
51,Punta Arenas,CL,2021-11-24 18:45:50,-53.15,-70.9167,55.51,38,20,16.11
52,Camacupa,AO,2021-11-24 18:45:51,-12.0167,17.4833,62.91,92,98,2.37
53,Pacific Grove,US,2021-11-24 18:43:37,36.6177,-121.9166,65.77,36,1,7.0
54,Rikitea,PF,2021-11-24 18:45:51,-23.1203,-134.9692,76.6,75,24,14.76
55,Mehamn,NO,2021-11-24 18:45:52,71.0357,27.8492,28.58,86,75,17.27
56,Upernavik,GL,2021-11-24 18:45:52,72.7868,-56.1549,29.88,75,100,34.34
57,Puerto Madryn,AR,2021-11-24 18:45:53,-42.7692,-65.0385,80.89,33,2,5.61
58,Beni,CD,2021-11-24 18:45:53,0.5,29.4667,62.76,99,39,2.55
59,Itarema,BR,2021-11-24 18:45:53,-2.9248,-39.9167,85.6,63,19,16.55
60,Asifabad,IN,2021-11-24 18:45:54,19.3667,79.2833,72.63,70,100,0.89
61,Mar Del Plata,AR,2021-11-24 18:42:24,-38.0023,-57.5575,91.42,69,0,5.01
62,Cherskiy,RU,2021-11-24 18:45:54,68.75,161.3,-14.46,97,100,3.94
63,Grand Gaube,MU,2021-11-24 18:45:55,-20.0064,57.6608,77.38,73,33,1.99
64,Kimberley,ZA,2021-11-24 18:45:06,-28.7323,24.7623,65.89,42,0,9.22
65,Qaanaaq,GL,2021-11-24 18:45:55,77.484,-69.3632,-5.53,54,0,8.68
